countrycode|language|isofficial|percentage
TKL|English|1|0
TON|English|1|0
TTO|Hindi|0|3.4000001
TCD|Arabic|1|12.3
CZE|Moravian|0|12.9
TUN|Arabic-French|0|26.299999
TUR|Kurdish|0|10.6
TKM|Uzbek|0|9.1999998
TUV|Kiribati|0|7.5
UGA|Nkole|0|10.7
UKR|Russian|0|32.900002
HUN|Romani|0|0.5
NCL|French|1|34.299999
NZL|Maori|0|4.3000002
UZB|Russian|0|10.9
BLR|Russian|1|32
WLF|Futuna|0|0
VUT|English|1|28.299999
VEN|Goajiro|0|0.40000001
RUS|Tatar|0|3.2
VNM|Tho|0|1.8
EST|Russian|0|27.799999
USA|Spanish|0|7.5
VIR|Spanish|0|13.3
ZWE|Ndebele|0|16.200001
PSE|Hebrew|0|4.0999999
AFG|Uzbek|0|8.8000002
NLD|Arabic|0|0.89999998
ANT|Dutch|1|0
ALB|Macedonian|0|0.1
ASM|Tongan|0|3.0999999
AND|Portuguese|0|10.8
AGO|Kongo|0|13.2
ARG|Indian Languages|0|0.30000001
ABW|Spanish|0|7.4000001
AUS|Greek|0|1.6
AZE|Lezgian|0|2.3
BGD|Marma|0|0.2
BEL|Italian|0|2.4000001
BLZ|Maya Languages|0|9.6000004
BEN|Adja|0|11.1
BTN|Asami|0|15.2
BOL|Aimará|1|3.2
BWA|San|0|3.5
BRA|Italian|0|0.40000001
GBR|Gaeli|0|0.1
BRN|Chinese|0|9.3000002
BGR|Romani|0|3.7
BFA|Gurma|0|5.6999998
BDI|Swahili|0|0
CHL|Aimará|0|0.5
CRI|Chibcha|0|0.30000001
DJI|Arabic|1|10.6
ERI|Afar|0|4.3000002
ESP|Galecian|0|6.4000001
ZAF|Afrikaans|1|14.3
ETH|Tigrinja|0|7.1999998
PHL|Ilocano|0|9.3000002
GAB|Mpongwe|0|14.6
GMB|Wolof|0|12.6
GEO|Armenian|0|6.8000002
GHA|Ewe|0|11.9
GUM|Philippene Languages|0|19.700001
GTM|Cakchiquel|0|8.8999996
GIN|Susu|0|11
GNB|Balante|0|14.6
GUY|Arawakan|0|1.4
HND|Creole English|0|0.2
HKG|Fukien|0|1.9
IDN|Malay|1|12.1
IND|Telugu|0|7.8000002
IRQ|Azerbaijani|0|1.7
IRN|Kurdish|0|9.1000004
ISR|Russian|0|8.8999996
ITA|Friuli|0|1.2
AUT|Turkish|0|1.5
JPN|Chinese|0|0.2
JOR|Armenian|0|1
YUG|Hungarian|0|3.4000001
KHM|Chinese|0|3.0999999
CMR|Duala|0|10.9
CAN|Chinese|0|2.5
KAZ|Ukrainian|0|5
KEN|Luo|0|12.8
CAF|Mandjia|0|14.8
CHN|Mantšu|0|0.89999998
KGZ|Uzbek|0|14.1
COL|Creole English|0|0.1
COM|Comorian-madagassi|0|5.5
COG|Mboshi|0|11.4
COD|Mongo|0|13.5
LAO|Thai|0|7.8000002
LVA|Belorussian|0|4.0999999
LSO|English|1|0
LBN|French|0|0
LBR|Grebo|0|8.8999996
LIE|Turkish|0|2.5
LTU|Polish|0|7
LUX|Italian|0|4.5999999
MAC|Mandarin Chinese|0|1.2
MKD|Turkish|0|4
MWI|Yao|0|13.2
MYS|Tamil|0|3.9000001
MLI|Senufo and Minianka|0|12
MRT|Tukulor|0|5.4000001
MUS|French|0|3.4000001
MYT|Malagasy|0|16.1
MEX|Yucatec|0|1.1
FSM|Mortlock|0|7.5999999
MDA|Ukrainian|0|8.6000004
MCO|Italian|0|16.1
MNG|Dorbet|0|2.7
MOZ|Sena|0|9.3999996
MMR|Karen|0|6.1999998
NAM|Kavango|0|9.6999998
NRU|Chinese|0|8.5
NPL|Bhojpuri|0|7.5
NIC|Creole English|0|0.5
NER|Tamashek|0|10.4
NGA|Ibo|0|18.1
NOR|Danish|0|0.40000001
CIV|Malinke|0|11.4
PAK|Sindhi|0|11.8
PLW|English|1|3.2
PAN|Guaymí|0|5.3000002
PRY|Portuguese|0|3.2
PER|Aimará|1|2.3
MNP|Chinese|0|7.0999999
POL|Ukrainian|0|0.60000002
FRA|Portuguese|0|1.2
PYF|Chinese|0|2.9000001
REU|Comorian|0|2.8
ROM|Romani|1|0.69999999
SWE|Southern Slavic Languages|0|1.3
DEU|Southern Slavic Languages|0|1.4
SLB|Polynesian Languages|0|3.8
ZMB|Nyanja|0|7.8000002
WSM|English|1|0.60000002
SEN|Serer|0|12.5
SYC|French|1|1.3
SLE|Limba|0|8.3000002
SGP|Tamil|1|7.4000001
SVK|Romani|0|1.7
SVN|Hungarian|0|0.5
LKA|Mixed Languages|0|19.6
SDN|Nubian Languages|0|8.1000004
FIN|Russian|0|0.40000001
CHE|Italian|1|7.6999998
TJK|Russian|0|9.6999998
TWN|Hakka|0|11
TZA|Hehet|0|6.9000001
DNK|Arabic|0|0.69999999
THA|Chinese|0|12.1
TGO|Watyi|0|10.3
TTO|Creole English|0|2.9000001
TCD|Mayo-kebbi|0|11.5
CZE|Slovak|0|3.0999999
TUN|Arabic-French-English|0|3.2
TUR|Arabic|0|1.4
TKM|Russian|0|6.6999998
TUV|English|1|0
UGA|Kiga|0|8.3000002
UKR|Romanian|0|0.69999999
HUN|German|0|0.40000001
NCL|Polynesian Languages|0|11.6
UZB|Tadzhik|0|4.4000001
BLR|Ukrainian|0|1.3
VUT|French|1|14.2
VEN|Warrau|0|0.1
RUS|Ukrainian|0|1.3
VNM|Thai|0|1.6
EST|Ukrainian|0|2.8
USA|French|0|0.69999999
VIR|French|0|2.5
ZWE|English|1|2.2
AFG|Turkmenian|0|1.9
NLD|Turkish|0|0.80000001
AND|French|0|6.1999998
AGO|Luimbe-nganguela|0|5.4000001
ABW|Dutch|1|5.3000002
AUS|Canton Chinese|0|1.1
AZE|Armenian|0|2
BGD|Garo|0|0.1
BEL|Arabic|0|1.6
BLZ|Garifuna|0|6.8000002
BEN|Aizo|0|8.6999998
BOL|Guaraní|0|0.1
BWA|Khoekhoe|0|2.5
BRA|Japanese|0|0.40000001
BRN|English|0|3.0999999
BGR|Macedonian|0|2.5999999
BFA|Busansi|0|3.5
CHL|Rapa nui|0|0.2
CRI|Chinese|0|0.2
ERI|Hadareb|0|3.8
ESP|Basque|0|1.6
ZAF|Northsotho|0|9.1000004
ETH|Gurage|0|4.6999998
PHL|Hiligaynon|0|9.1000004
GAB|Mbete|0|13.8
GMB|Diola|0|9.1999998
GEO|Azerbaijani|0|5.5
GHA|Ga-adangme|0|7.8000002
GUM|Korean|0|3.3
GTM|Kekchí|0|4.9000001
GIN|Kissi|0|6
GNB|Portuguese|1|8.1000004
HND|Miskito|0|0.2
HKG|Hakka|0|1.6
IDN|Madura|0|4.3000002
IND|Marathi|0|7.4000001
IRQ|Assyrian|0|0.80000001
IRN|Gilaki|0|5.3000002
ITA|French|0|0.5
AUT|Hungarian|0|0.40000001
JPN|English|0|0.1
YUG|Romani|0|1.4
KHM|Tšam|0|2.4000001
CMR|Ful|0|9.6000004
CAN|Italian|0|1.7
KAZ|German|0|3.0999999
KEN|Kamba|0|11.2
CAF|Ngbaka|0|7.5
CHN|Hui|0|0.80000001
KGZ|Ukrainian|0|1.7
COL|Arawakan|0|0.1
COM|Comorian-Arabic|0|1.6
COG|Mbete|0|4.8000002
COD|Rwanda|0|10.3
LAO|Lao-Soung|0|5.1999998
LVA|Ukrainian|0|2.9000001
LBR|Gio|0|7.9000001
LTU|Belorussian|0|1.4
LUX|French|1|4.1999998
MAC|English|0|0.5
MKD|Romani|0|2.3
MWI|Ngoni|0|6.6999998
MYS|Iban|0|2.8
MLI|Soninke|0|8.6999998
MRT|Soninke|0|2.7
MUS|Hindi|0|1.2
MEX|Zapotec|0|0.60000002
FSM|Kosrean|0|7.3000002
MDA|Gagauzi|0|3.2
MCO|English|0|6.5
MNG|Bajad|0|1.9
MOZ|Lomwe|0|7.8000002
MMR|Rakhine|0|4.5
